request_id,geoid,tract_name,county,request_type,request_text,service_tags,address
REQ-0059,06089010704,Census Tract 107.04,Shasta,Medical,"Resident recovering from COVID needs someone to check in daily",medical,"Central Valley High School, 3405 Liberty St, Shasta Lake, CA"
REQ-0060,06089010803,Census Tract 108.03,Shasta,Food & Water,"Family with young children needs fresh produce and milk",food_distribution,"Sequoia Middle School, 1155 Hemingway St, Redding, CA"
REQ-0061,06089010804,Census Tract 108.04,Shasta,Supplies,"Family needs mattresses and bedding after losing furniture in fire",volunteer_labor,"Caldwell Park, Quartz Hill Rd, Redding, CA"
REQ-0062,06089010805,Census Tract 108.05,Shasta,Mobility Help,"Bedridden resident needs help being moved to ground floor bedroom",mobility_assistance;heavy_lifting,"Anderson Community Park, 2800 Ventura St, Anderson, CA"
REQ-0063,06089010806,Census Tract 108.06,Shasta,Childcare,"Foster parent needs temporary childcare assistance for four children",childcare,"Redding Fire Station 1, 755 Cypress Ave, Redding, CA"
REQ-0064,06089010807,Census Tract 108.07,Shasta,General,"Family needs help assembling donated furniture at new apartment",volunteer_labor,"Burney Branch Library, 37038 Siskiyou St, Burney, CA"
REQ-0065,06089010900,Census Tract 109,Shasta,Transportation,"Neighbor recovering from surgery needs rides to physical therapy",transportation,"Burney Community Church, 37535 Mountain View Rd, Burney, CA"
REQ-0066,06089011001,Census Tract 110.01,Shasta,Medical,"Child needs allergy medication delivered, parent cannot leave home",medical,"Fall River Mills Post Office, 24417 Main St, Fall River Mills, CA"
REQ-0067,06089011002,Census Tract 110.02,Shasta,Food & Water,"Diabetic resident needs sugar-free meal options from food bank",food_distribution,"Cottonwood Community Church, 3574 Brush St, Cottonwood, CA"
REQ-0068,06089011100,Census Tract 111,Shasta,Supplies,"Homeowner needs tools to remove fallen tree from driveway",volunteer_labor,"Redding Post Office, 2323 Churn Creek Rd, Redding, CA"
REQ-0069,06089011209,Census Tract 112.09,Shasta,Mobility Help,"Senior needs grab bars installed in bathroom for safety",mobility_assistance,"Mercy Medical Center, 2175 Rosaline Ave, Redding, CA"
REQ-0070,06089011300,Census Tract 113,Shasta,Childcare,"Teen parent needs help with newborn while finishing online classes",childcare,"Redding Library, 1100 Parkview Ave, Redding, CA"
REQ-0071,06089011402,Census Tract 114.02,Shasta,General,"Community garden needs volunteers to repair fire-damaged beds",volunteer_labor,"Shasta College, 11555 Old Oregon Trail, Redding, CA"
REQ-0072,06089011403,Census Tract 114.03,Shasta,Transportation,"Homebound senior needs ride to social security office",transportation,"Enterprise High School, 3411 Churn Creek Rd, Redding, CA"
REQ-0073,06089011501,Census Tract 115.01,Shasta,Medical,"Senior couple both need flu vaccinations but cannot travel to clinic",medical,"Shasta Lake City Hall, 4477 Main St, Shasta Lake, CA"
REQ-0074,06089011502,Census Tract 115.02,Shasta,Food & Water,"Recently displaced family needs complete pantry restocking",food_distribution,"Anderson City Hall, 1887 Howard St, Anderson, CA"
REQ-0075,06089011701,Census Tract 117.01,Shasta,Supplies,"Resident needs plastic sheeting to cover smoke-damaged furniture",volunteer_labor,"Redding City Hall, 777 Cypress Ave, Redding, CA"
REQ-0076,06089011703,Census Tract 117.03,Shasta,Mobility Help,"Resident with broken hip needs someone to carry laundry to facility",heavy_lifting,"Anderson Branch Library, 3200 West Center St, Anderson, CA"
REQ-0077,06089011803,Census Tract 118.03,Shasta,Childcare,"Nurse working double shifts needs overnight childcare assistance",childcare,"Sequoia Middle School, 1155 Hemingway St, Redding, CA"
REQ-0078,06089012101,Census Tract 121.01,Shasta,General,"Senior needs tech help to join virtual community support meetings",volunteer_labor,"Caldwell Park, Quartz Hill Rd, Redding, CA"
REQ-0079,06089012301,Census Tract 123.01,Shasta,Transportation,"Family needs transport to FEMA assistance center downtown",transportation,"Redding Fire Station 1, 755 Cypress Ave, Redding, CA"
REQ-0080,06089012302,Census Tract 123.02,Shasta,Medical,"Resident needs help understanding new medication instructions",medical,"Mercy Medical Center, 2175 Rosaline Ave, Redding, CA"
REQ-0081,06065030101,Census Tract 301.01,Riverside,Transportation,"Elderly neighbor needs ride to medical appointment, cannot drive",transportation,"Riverside Public Library, 3581 Mission Inn Ave, Riverside, CA"
REQ-0082,06065030103,Census Tract 301.03,Riverside,Medical,"Need insulin delivery for diabetic resident, pharmacy is far away",medical,"UCR, 900 University Ave, Riverside, CA"
REQ-0083,06065030104,Census Tract 301.04,Riverside,Food & Water,"Family of five needs emergency food boxes, lost everything in fire",food_distribution,"Riverside City Hall, 3900 Main St, Riverside, CA"
REQ-0084,06065030200,Census Tract 302,Riverside,Supplies,"Need tarps and sandbags to protect damaged roof before rain",volunteer_labor,"Arlington Library, 9556 Magnolia Ave, Riverside, CA"
REQ-0085,06065030300,Census Tract 303,Riverside,Mobility Help,"Elderly woman needs help moving furniture to clear evacuation path",mobility_assistance;heavy_lifting,"La Sierra Library, 4600 La Sierra Ave, Riverside, CA"
REQ-0086,06065030400,Census Tract 304,Riverside,Childcare,"Single mother needs childcare while attending FEMA meetings",childcare,"Moreno Valley City Hall, 14177 Frederick St, Moreno Valley, CA"
REQ-0087,06065030501,Census Tract 305.01,Riverside,General,"Need volunteers to help sort donations at community center",volunteer_labor,"Moreno Valley Public Library, 25480 Alessandro Blvd, Moreno Valley, CA"
REQ-0088,06065030502,Census Tract 305.02,Riverside,Transportation,"Family of four needs transport to evacuation center",transportation,"Corona Public Library, 650 S Main St, Corona, CA"
REQ-0089,06065030503,Census Tract 305.03,Riverside,Medical,"Child has asthma and needs nebulizer supplies delivered urgently",medical,"Corona City Hall, 400 S Vicentia Ave, Corona, CA"
REQ-0090,06065030602,Census Tract 306.02,Riverside,Food & Water,"Senior on fixed income needs groceries delivered this week",food_distribution,"Norco City Hall, 2870 Clark Ave, Norco, CA"
REQ-0091,06065030603,Census Tract 306.03,Riverside,Supplies,"Family needs blankets and warm clothing for children",volunteer_labor,"Norco Public Library, 3954 Old Hamner Rd, Norco, CA"
REQ-0092,06065030604,Census Tract 306.04,Riverside,Mobility Help,"Disabled man needs ramp installed at temporary housing entrance",mobility_assistance,"Riverside Fire Station 1, 3401 University Ave, Riverside, CA"
REQ-0093,06065030605,Census Tract 306.05,Riverside,Childcare,"Parent needs after-school care for two children during recovery period",childcare,"North High School, 1550 Third St, Riverside, CA"
REQ-0094,06065030700,Census Tract 307,Riverside,General,"Resident needs help filling out insurance claim paperwork",volunteer_labor,"Poly High School, 5450 Victoria Ave, Riverside, CA"
REQ-0095,06065030800,Census Tract 308,Riverside,Transportation,"Wheelchair-bound veteran needs accessible vehicle to pharmacy",transportation,"Ramona High School, 7675 Magnolia Ave, Riverside, CA"
REQ-0096,06065030900,Census Tract 309,Riverside,Medical,"Elderly man needs help managing wound care after hospital discharge",medical,"Riverside Community College, 4800 Magnolia Ave, Riverside, CA"
REQ-0097,06065031001,Census Tract 310.01,Riverside,Food & Water,"Single father needs baby formula and diapers urgently",food_distribution,"Fairmount Park, 2601 Fairmount Blvd, Riverside, CA"
REQ-0098,06065031002,Census Tract 310.02,Riverside,Supplies,"Resident needs cleaning supplies to start debris removal at home",volunteer_labor,"Sycamore Canyon Wilderness Park, 4651 Central Ave, Riverside, CA"
REQ-0099,06065031100,Census Tract 311,Riverside,Mobility Help,"Senior needs walker repaired or replaced after evacuation damage",mobility_assistance,"Bordwell Park, 2008 Martin Luther King Blvd, Riverside, CA"
REQ-0100,06065031200,Census Tract 312,Riverside,Childcare,"Family needs emergency babysitter while both parents work cleanup shifts",childcare,"Reid Park, 701 N Orange St, Riverside, CA"
REQ-0101,06065031300,Census Tract 313,Riverside,General,"Senior needs help setting up phone and internet at new residence",volunteer_labor,"Moreno Valley Community Park, 13380 Frederick St, Moreno Valley, CA"
REQ-0102,06065031401,Census Tract 314.01,Riverside,Transportation,"Single mother needs ride to pick up prescriptions for children",transportation,"March Air Reserve Base Chapel, 1621 Graeber St, Riverside, CA"
REQ-0103,06065031402,Census Tract 314.02,Riverside,Medical,"Resident needs blood pressure medication refill picked up",medical,"First Baptist Church of Riverside, 5500 Alessandro Blvd, Riverside, CA"
REQ-0104,06065031501,Census Tract 315.01,Riverside,Food & Water,"Household of three needs drinking water, well contaminated by ash",food_distribution,"Corona Santiago High School, 1395 Foothill Pkwy, Corona, CA"
REQ-0105,06065031503,Census Tract 315.03,Riverside,Supplies,"Household needs batteries, flashlights, and portable phone chargers",volunteer_labor,"Centennial High School, 1959 Jaguar Way, Corona, CA"
REQ-0106,06065031504,Census Tract 315.04,Riverside,Mobility Help,"Resident in wheelchair needs help navigating debris around home",mobility_assistance;heavy_lifting,"El Cerrito Middle School, 7581 El Cerrito Rd, Corona, CA"
REQ-0107,06065031602,Census Tract 316.02,Riverside,Childcare,"Grandparent caring for three grandchildren needs respite help",childcare,"Home Gardens Elementary School, 13550 Magnolia Ave, Corona, CA"
REQ-0108,06065031701,Census Tract 317.01,Riverside,General,"Family needs help cleaning ash and debris from yard",volunteer_labor,"Moreno Valley Fire Station 58, 15111 Indian St, Moreno Valley, CA"
REQ-0109,06065031702,Census Tract 317.02,Riverside,Transportation,"Senior couple needs transportation to grocery store weekly",transportation,"Riverside Post Office, 3890 Orange St, Riverside, CA"
REQ-0110,06065031703,Census Tract 317.03,Riverside,Medical,"Pregnant woman needs prenatal vitamins and check-up transportation",medical,"Corona Post Office, 590 W 6th St, Corona, CA"
REQ-0111,06065031704,Census Tract 317.04,Riverside,Food & Water,"Elderly couple needs meals delivered, both have mobility issues",food_distribution,"Lake Perris State Recreation Area, 17801 Lake Perris Dr, Perris, CA"
REQ-0112,06065040102,Census Tract 401.02,Riverside,Supplies,"Need plywood to board up broken windows after storm damage",volunteer_labor,"Perris City Hall, 101 N D St, Perris, CA"
REQ-0113,06065040201,Census Tract 402.01,Riverside,Mobility Help,"Injured resident needs help carrying supplies upstairs to apartment",heavy_lifting,"Perris Branch Library, 163 E San Jacinto Ave, Perris, CA"
REQ-0114,06065040202,Census Tract 402.02,Riverside,Childcare,"Parent needs childcare for toddler during medical appointments",childcare,"Val Verde Community Park, 30100 Val Verde Rd, Val Verde, CA"
REQ-0115,06065040203,Census Tract 402.03,Riverside,General,"Homeowner needs help tarping roof before next storm arrives",volunteer_labor,"Mead Valley Community Center, 21091 Rider St, Perris, CA"
REQ-0116,06065040204,Census Tract 402.04,Riverside,Transportation,"Disabled resident requires lift-equipped van for dialysis appointments",transportation,"Good Hope Elementary School, 21501 Rider St, Perris, CA"
REQ-0117,06065040302,Census Tract 403.02,Riverside,Medical,"Senior needs assistance setting up new oxygen equipment at home",medical,"Tomas Rivera Middle School, 18300 Krameria Ave, Riverside, CA"
REQ-0118,06065040303,Census Tract 403.03,Riverside,Food & Water,"Large family needs culturally appropriate food assistance",food_distribution,"La Sierra High School, 4145 La Sierra Ave, Riverside, CA"
REQ-0119,06065040304,Census Tract 403.04,Riverside,Supplies,"Family needs school supplies for kids starting at new school",volunteer_labor,"Woodcrest Library, 16625 Krameria Ave, Riverside, CA"
REQ-0120,06065040305,Census Tract 403.05,Riverside,Mobility Help,"Elderly couple needs help packing belongings for relocation",mobility_assistance;heavy_lifting,"Glen Avon Library, 9244 Galena St, Jurupa Valley, CA"
REQ-0121,06065040403,Census Tract 404.03,Riverside,Childcare,"Working parent needs someone to watch infant during job interviews",childcare,"Riverside Public Library, 3581 Mission Inn Ave, Riverside, CA"
REQ-0122,06065040405,Census Tract 404.05,Riverside,General,"Elderly resident needs help reading and responding to official mail",volunteer_labor,"UCR, 900 University Ave, Riverside, CA"
REQ-0123,06065040501,Census Tract 405.01,Riverside,Transportation,"Elderly woman needs ride to eye doctor, no family nearby",transportation,"Riverside City Hall, 3900 Main St, Riverside, CA"
REQ-0124,06065040502,Census Tract 405.02,Riverside,Medical,"Family needs first aid supplies for minor burn injuries",medical,"Arlington Library, 9556 Magnolia Ave, Riverside, CA"
REQ-0125,06065040503,Census Tract 405.03,Riverside,Food & Water,"Resident needs gluten-free food options due to celiac disease",food_distribution,"La Sierra Library, 4600 La Sierra Ave, Riverside, CA"
REQ-0126,06065030101,Census Tract 301.01,Riverside,Supplies,"Resident needs personal hygiene products and toiletries",volunteer_labor,"Moreno Valley City Hall, 14177 Frederick St, Moreno Valley, CA"
REQ-0127,06065030103,Census Tract 301.03,Riverside,Mobility Help,"Person with spinal injury needs help rearranging room for accessibility",mobility_assistance,"Moreno Valley Public Library, 25480 Alessandro Blvd, Moreno Valley, CA"
REQ-0128,06065030104,Census Tract 301.04,Riverside,Childcare,"Family needs weekend childcare while rebuilding damaged home",childcare,"Corona Public Library, 650 S Main St, Corona, CA"
REQ-0129,06065030200,Census Tract 302,Riverside,General,"Need volunteers for neighborhood wellness check on isolated seniors",volunteer_labor,"Corona City Hall, 400 S Vicentia Ave, Corona, CA"
REQ-0130,06065030300,Census Tract 303,Riverside,Transportation,"Need transport for three elderly residents to community meal site",transportation,"Norco City Hall, 2870 Clark Ave, Norco, CA"
REQ-0131,06065030400,Census Tract 304,Riverside,Medical,"Resident recovering from COVID needs someone to check in daily",medical,"Norco Public Library, 3954 Old Hamner Rd, Norco, CA"
REQ-0132,06065030501,Census Tract 305.01,Riverside,Food & Water,"Homebound senior needs hot meals delivered for the next two weeks",food_distribution,"Riverside Fire Station 1, 3401 University Ave, Riverside, CA"
REQ-0133,06065030502,Census Tract 305.02,Riverside,Supplies,"Family needs mattresses and bedding after losing furniture in fire",volunteer_labor,"North High School, 1550 Third St, Riverside, CA"
REQ-0134,06065030503,Census Tract 305.03,Riverside,Mobility Help,"Amputee needs assistance getting heavy supply boxes into the house",heavy_lifting,"Poly High School, 5450 Victoria Ave, Riverside, CA"
REQ-0135,06065030602,Census Tract 306.02,Riverside,Childcare,"Mother in shelter needs help watching kids during housing search",childcare,"Ramona High School, 7675 Magnolia Ave, Riverside, CA"
REQ-0136,06065030603,Census Tract 306.03,Riverside,General,"Resident needs help filing for unemployment benefits online",volunteer_labor,"Riverside Community College, 4800 Magnolia Ave, Riverside, CA"
REQ-0137,06065030604,Census Tract 306.04,Riverside,Transportation,"Neighbor recovering from surgery needs rides to physical therapy",transportation,"Fairmount Park, 2601 Fairmount Blvd, Riverside, CA"
REQ-0138,06065030605,Census Tract 306.05,Riverside,Medical,"Child needs allergy medication delivered, parent cannot leave home",medical,"Sycamore Canyon Wilderness Park, 4651 Central Ave, Riverside, CA"
REQ-0139,06065030700,Census Tract 307,Riverside,Food & Water,"Family with young children needs fresh produce and milk",food_distribution,"Bordwell Park, 2008 Martin Luther King Blvd, Riverside, CA"
REQ-0140,06065030800,Census Tract 308,Riverside,Supplies,"Homeowner needs tools to remove fallen tree from driveway",volunteer_labor,"Reid Park, 701 N Orange St, Riverside, CA"
REQ-0141,06065030900,Census Tract 309,Riverside,Mobility Help,"Bedridden resident needs help being moved to ground floor bedroom",mobility_assistance;heavy_lifting,"Moreno Valley Community Park, 13380 Frederick St, Moreno Valley, CA"
REQ-0142,06065031001,Census Tract 310.01,Riverside,Childcare,"Foster parent needs temporary childcare assistance for four children",childcare,"March Air Reserve Base Chapel, 1621 Graeber St, Riverside, CA"
REQ-0143,06065031002,Census Tract 310.02,Riverside,General,"Family needs help assembling donated furniture at new apartment",volunteer_labor,"First Baptist Church of Riverside, 5500 Alessandro Blvd, Riverside, CA"
REQ-0144,06065031100,Census Tract 311,Riverside,Transportation,"Homebound senior needs ride to social security office",transportation,"Corona Santiago High School, 1395 Foothill Pkwy, Corona, CA"
REQ-0145,06065031200,Census Tract 312,Riverside,Medical,"Senior couple both need flu vaccinations but cannot travel to clinic",medical,"Centennial High School, 1959 Jaguar Way, Corona, CA"
REQ-0146,06065031300,Census Tract 313,Riverside,Food & Water,"Diabetic resident needs sugar-free meal options from food bank",food_distribution,"El Cerrito Middle School, 7581 El Cerrito Rd, Corona, CA"
REQ-0147,06065031401,Census Tract 314.01,Riverside,Supplies,"Resident needs plastic sheeting to cover smoke-damaged furniture",volunteer_labor,"Home Gardens Elementary School, 13550 Magnolia Ave, Corona, CA"
REQ-0148,06065031402,Census Tract 314.02,Riverside,Mobility Help,"Senior needs grab bars installed in bathroom for safety",mobility_assistance,"Moreno Valley Fire Station 58, 15111 Indian St, Moreno Valley, CA"
REQ-0149,06065031501,Census Tract 315.01,Riverside,Childcare,"Teen parent needs help with newborn while finishing online classes",childcare,"Riverside Post Office, 3890 Orange St, Riverside, CA"
REQ-0150,06065031503,Census Tract 315.03,Riverside,General,"Resident needs help communicating with insurance adjuster",volunteer_labor,"Corona Post Office, 590 W 6th St, Corona, CA"
REQ-0151,06065031504,Census Tract 315.04,Riverside,Transportation,"Family needs transport to FEMA assistance center downtown",transportation,"Lake Perris State Recreation Area, 17801 Lake Perris Dr, Perris, CA"
REQ-0152,06065031602,Census Tract 316.02,Riverside,Medical,"Resident needs help understanding new medication instructions",medical,"Perris City Hall, 101 N D St, Perris, CA"
REQ-0153,06065031701,Census Tract 317.01,Riverside,Food & Water,"Recently displaced family needs complete pantry restocking",food_distribution,"Perris Branch Library, 163 E San Jacinto Ave, Perris, CA"
REQ-0154,06065031702,Census Tract 317.02,Riverside,Supplies,"Family needs cooking supplies after kitchen was destroyed",volunteer_labor,"Val Verde Community Park, 30100 Val Verde Rd, Val Verde, CA"
REQ-0155,06065031703,Census Tract 317.03,Riverside,Mobility Help,"Resident with broken hip needs someone to carry laundry to facility",heavy_lifting,"Mead Valley Community Center, 21091 Rider St, Perris, CA"
REQ-0156,06065031704,Census Tract 317.04,Riverside,Childcare,"Nurse working double shifts needs overnight childcare assistance",childcare,"Good Hope Elementary School, 21501 Rider St, Perris, CA"
